temperature,humidity,rainfall,growth_stage,disease,risk
25,80,5,vegetative,Powdery Mildew,High
30,60,0,seedling,Healthy,Low
28,85,10,flowering,Powdery Mildew,High
22,70,15,vegetative,Downy Mildew,Medium
35,50,0,fruiting,Healthy,Low
27,90,20,flowering,Downy Mildew,High
24,75,8,vegetative,Powdery Mildew,Medium
32,65,2,fruiting,Healthy,Low
26,88,12,flowering,Downy Mildew,High
29,78,6,vegetative,Powdery Mildew,Medium
31,55,0,seedling,Healthy,Low
23,82,18,vegetative,Downy Mildew,High
28,77,7,flowering,Powdery Mildew,Medium
34,60,1,fruiting,Healthy,Low
26,85,15,flowering,Downy Mildew,High
21,68,12,vegetative,Downy Mildew,Medium
27,80,9,flowering,Powdery Mildew,High
33,52,0,fruiting,Healthy,Low
25,73,6,vegetative,Powdery Mildew,Medium
29,88,14,flowering,Downy Mildew,High
